,1,2,3,4,5,6
0,Kirby's Return to Dream Land Deluxe,"59,99 €*",Plongez dans une version deluxe de Kirby's Adventure Wii avec Kirby's Return to Dream Land Deluxe sur Nintendo Switch !,Nintendo Switch,24/02/2023,"Action, Aventure"
1,Fire Emblem Engage,"59,99 €*",Le Dragon déchu s'apprête à renaître ! Invoquez les Emblèmes et sauvez le continent d'Elyos dans Fire Emblem Engage sur Nintendo Switch.,Nintendo Switch,20/01/2023,RPG
2,Advance Wars 1+2: Re-Boot Camp,"59,99 €*",La nation Orange Star a besoin de vous ! Mettez votre sens de la stratégie à l'épreuve dans Advance Wars 1+2: Re-Boot Camp sur Nintendo Switch.,Nintendo Switch,Date de publication : Date à déterminer,Stratégie
3,Pokémon Écarlate,"59,99 €*","Pokémon Écarlate et Pokémon Violet, les derniers opus de la série principale Pokémon, sortiront sur Nintendo Switch le 18 novembre.",Nintendo Switch,18/11/2022,"Aventure, RPG"
4,Pokémon Violet,"59,99 €*","Pokémon Écarlate et Pokémon Violet, les derniers opus de la série principale Pokémon, sortiront sur Nintendo Switch le 18 novembre.",Nintendo Switch,18/11/2022,"Aventure, RPG"
5,Bayonetta 3,"59,99 €*",Préparez-vous à voir du pays dans ce nouveau titre à l'action toujours plus démesurée sur Nintendo Switch !,Nintendo Switch,28/10/2022,Action
6,Splatoon 3,"59,99 €*",Faites équipe et imposez vos couleurs pour remporter la victoire dans Splatoon 3 !,Nintendo Switch,09/09/2022,"Action, Jeu de tir"
7,Kirby's Dream Buffet,"14,99 €*",Engloutissez un maximum de fraises pour remporter la victoire dans Kirby’s Dream Buffet !,Nintendo Switch,17/08/2022,"Fête, Plateformes"
8,Xenoblade Chronicles 3,"59,99 €*","Une toute nouvelle aventure vous attend dans Xenoblade Chronicles 3, disponible le 29 juillet sur Nintendo Switch.",Nintendo Switch,29/07/2022,"Aventure, RPG"
9,LIVE A LIVE,"49,99 €*","La légende revient à la vie ! Découvrez une série de récits interconnectés dans LIVE A LIVE, maintenant remastérisé en somptueuse HD-2D !",Nintendo Switch,22/07/2022,RPG
10,Fire Emblem Warriors: Three Hopes,"59,99 €*","Révélez les destinées de trois grandes puissances dans Fire Emblem Warriors: Three Hopes, un récit original dans l'univers de Fire Emblem: Three Houses.",Nintendo Switch,24/06/2022,Action
11,Mario Strikers: Battle League Football,"59,99 €*","Servez-vous des tacles, des objets et des hyper frappes pour décrocher la victoire dans Mario Strikers: Battle League Football sur Nintendo Switch.",Nintendo Switch,10/06/2022,"Fête, Sports"
12,Nintendo Switch Sports,"39,99 €*","Frappez, lancez et smashez dans Nintendo Switch Sports, une collection de disciplines sportives sur Nintendo Switch qui vous plonge au cœur de l'action !",Nintendo Switch,29/04/2022,"Fête, Sports"
13,Kirby et le monde oublié,"59,99 €*",Préparez-vous pour une grande bouffée d'aventure en 3D !,Nintendo Switch,25/03/2022,"Aventure, Plateformes"
14,Mario Kart 8 Deluxe,À partir de:,"Grâce à la Nintendo Switch, la version ultime de Mario Kart 8 est jouable n'importe où et n'importe quand même en multijoueur local pour jusqu’à 8 pilotes.",Nintendo Switch,18/03/2022,"Course, Fête"
15,TRIANGLE STRATEGY™,"59,99 €*","Suivez un récit mêlant complots, stratégies et trahisons dans Triangle Strategy, un RPG tactique signé Square Enix sur Nintendo Switch.",Nintendo Switch,04/03/2022,"RPG, Stratégie"
16,Légendes Pokémon : Arceus,"59,99 €*",Découvrez les Pokémon d'autrefois et une vaste nature préservée pleine de nouvelles découvertes dans Légendes Pokémon : Arceus pour Nintendo Switch.,Nintendo Switch,28/01/2022,"Action, Aventure, RPG"
17,Super Smash Bros. Ultimate,"69,99 €*",Des mondes et des combattants légendaires se retrouvent pour l’affrontement ultime dans Super Smash Bros. Ultimate sur Nintendo Switch !,Nintendo Switch,07/12/2018,"Action, Combat"
18,Bayonetta™ 2 + Bayonetta™,"59,99 €*",Un pack unique rassemblant Bayonetta 2 et Bayonetta !,Nintendo Switch,10/12/2021,Action
19,Cérébrale Académie : bataille de méninges,"29,99 €*",Découvrez qui a le cerveau le plus vigoureux de la famille dans Cérébrale Académie : bataille de méninges sur Nintendo Switch.,Nintendo Switch,03/12/2021,"Casse-tête, Éducation"
20,Pokémon Diamant Étincelant,"59,99 €*",Explorez la région de Sinnoh avec Pokémon Diamant Étincelant !,Nintendo Switch,19/11/2021,"Aventure, RPG"
21,Pokémon Perle Scintillante,"59,99 €*",Explorez la région de Sinnoh avec Pokémon Perle Scintillante !,Nintendo Switch,19/11/2021,"Aventure, RPG"
22,Shin Megami Tensei V,"59,99 €*","La divinité vous attend dans Shin Megami Tensei V, sur Nintendo Switch !",Nintendo Switch,12/11/2021,RPG
23,Mario Party Superstars,"59,99 €*",La fête bat son plein avec la collection de classiques réunie dans Mario Party Superstars sur Nintendo Switch !,Nintendo Switch,29/10/2021,Fête
